Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"62,445","59,089","19,542","10,257","2,277","1,455"
Age ,,,,,,
    18 - 24,"36,470","36,466",-,-,596,-
    25 - 39,"36,780","34,042","16,436","8,052","2,174","1,455"
    40 - 54,"23,813","21,785","9,544","6,039",-,-
    55 - 64,"23,397","23,076","3,157","2,915",-,-
    65 and above,"22,402","22,224","4,353","2,238",-,-
Sex ,,,,,,
    Male,"51,001","49,858","15,306","3,460",-,"1,455"
    Female,"37,718","35,802","11,855","9,779","2,277",-
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"21,209","18,548","9,765","5,379",596,-
"    White alone, not Hispanic","48,195","48,386","7,284","2,980",-,"1,455"
"    Black alone, not Hispanic","14,450","14,083","3,602","3,377",-,-
"    Asian alone, not Hispanic","20,046","16,484","15,790","5,492",-,-
"    Two or more races + Other races, not Hispanic","47,972","43,421","9,164","6,817","2,174",-
Education ,,,,,,
    Less than high school,"19,357","17,548","4,081","6,324",-,-
    High school or GED,"49,048","43,492","18,444","5,427",596,-
    Some college/associate’s degree,"25,842","23,070","9,689","7,518",-,-
    Bachelor’s degree or higher,"24,304","23,797","6,169",-,"2,174","1,455"
Marital status ,,,,,,
    Married,"44,162","42,738","14,257","7,231","2,277","1,455"
    Widowed,"5,628","5,136","2,007","1,256",-,-
    Divorced/separated,"28,367","25,536","9,112","5,965",-,-
    Never married,"43,327","39,174","9,028","6,058",-,-
    Did not report,"7,461","1,426","7,260",821,-,-
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"55,234","50,116","18,849","7,865","2,277",-
    No,"39,303","38,356","9,454","7,476",-,"1,455"
    Did not report,-,-,-,-,-,-
Respondent currently employed ,,,,,,
    Yes,"61,022","57,310","14,483","5,034",-,"1,455"
    No,"42,885","36,033","17,134","9,287","2,277",-
    Did not report,-,-,-,-,-,-
Reason for not working ,,,,,,
    Did not want to be employed,"10,129","10,100",638,-,-,-
    Sick with coronavirus symptoms,892,892,-,-,-,-
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"13,533","12,563","3,404","2,189",-,-
    Caring for an elderly person,-,-,-,-,-,-
    Sick (not coronavirus related) or disabled,"4,992","4,946",492,-,-,-
    Retired,"22,092","21,700","4,117",-,-,-
    Coronavirus pandemic related reduction in business (including furlough),"12,173","8,656","9,057","3,138",596,-
    Laid off due to coronavirus pandemic,"6,151","4,783","3,630",-,"2,174",-
