Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"936,404","612,276","252,651","44,947","25,643",887
Age ,,,,,,
    18 - 24,-,-,-,-,-,-
    25 - 39,"445,484","287,604","117,293","40,586",-,-
    40 - 54,"304,512","203,203","96,061","4,361",-,887
    55 - 64,"128,605","95,794","31,852",-,959,-
    65 and above,"57,803","25,674","7,445",-,"24,684",-
Sex ,,,,,,
    Male,"357,827","238,423","102,250","17,155",-,-
    Female,"578,576","373,853","150,401","27,792","25,643",887
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"102,989","29,442","28,415","20,448","24,684",-
"    White alone, not Hispanic","497,981","357,986","129,450","10,546",-,-
"    Black alone, not Hispanic","43,302","24,513","17,829",-,959,-
"    Asian alone, not Hispanic","163,678","132,683","23,992","6,116",-,887
"    Two or more races + Other races, not Hispanic","128,453","67,652","52,964","7,837",-,-
Education ,,,,,,
    Less than high school,"95,486","23,158","47,644",-,"24,684",-
    High school or GED,"169,710","111,045","32,841","25,824",-,-
    Some college/associate’s degree,"260,023","157,887","84,168","17,968",-,-
    Bachelor’s degree or higher,"411,184","320,184","87,997","1,156",959,887
Marital status ,,,,,,
    Married,"678,446","489,904","132,813","30,159","24,684",887
    Widowed,"5,616","5,616",-,-,-,-
    Divorced/separated,"143,014","69,586","70,264","3,165",-,-
    Never married,"107,571","47,170","47,818","11,624",959,-
    Did not report,"1,756",-,"1,756",-,-,-
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"416,928","219,216","144,734","28,294","24,684",-
    No,"519,476","393,060","107,917","16,653",959,887
    Did not report,-,-,-,-,-,-
Respondent currently employed ,,,,,,
    Yes,"620,887","445,109","149,107","25,783",-,887
    No,"315,517","167,166","103,544","19,164","25,643",-
    Did not report,-,-,-,-,-,-
Reason for not working ,,,,,,
    Did not want to be employed,"11,903","10,029","1,875",-,-,-
    Sick with coronavirus symptoms,"25,491",807,-,-,"24,684",-
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"79,665","39,549","36,952","3,165",-,-
    Caring for an elderly person,-,-,-,-,-,-
    Sick (not coronavirus related) or disabled,"2,503","1,544",-,-,959,-
    Retired,"32,665","25,220","7,445",-,-,-
    Coronavirus pandemic related reduction in business (including furlough),"24,939","15,634","3,121","6,185",-,-
    Laid off due to coronavirus pandemic,"37,647","13,212","20,737","3,698",-,-
    Employment closed temporarily due to the coronavirus pandemic,"61,519","25,560","29,843","6,116",-,-
    Employment went out of business due to the coronavirus pandemic,-,-,-,-,-,-
