Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"66,593","58,515","40,583","23,282","8,146","6,757"
Age ,,,,,,
    18 - 24,"22,695","19,024","6,872","7,357",-,"2,951"
    25 - 39,"45,769","44,945","26,412","11,697","7,138","3,532"
    40 - 54,"40,709","40,158","26,793","14,661","3,363","5,012"
    55 - 64,"14,140","10,339","7,653",808,-,"1,006"
    65 and above,"24,826","6,810","19,087","11,863",-,246
Sex ,,,,,,
    Male,"47,206","31,855","32,795","11,950","3,359","4,289"
    Female,"44,144","45,906","23,031","23,291","7,168","5,408"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"25,763","20,314","12,624","11,876",-,"3,137"
"    White alone, not Hispanic","51,207","47,329","33,904","10,095",544,"4,917"
"    Black alone, not Hispanic","19,946","25,936","9,529","10,397","7,138",888
"    Asian alone, not Hispanic","26,309","18,185","18,781","3,309","3,245",994
"    Two or more races + Other races, not Hispanic","24,343","11,111","15,638","13,582",702,"3,709"
Education ,,,,,,
    Less than high school,"27,585","28,075","9,579","12,897",-,"3,034"
    High school or GED,"39,359","26,397","26,544","18,819","8,109",-
    Some college/associate’s degree,"35,660","24,546","25,308","8,174",870,"4,804"
    Bachelor’s degree or higher,"47,444","43,929","21,195","1,761",-,"4,102"
Marital status ,,,,,,
    Married,"51,774","49,061","24,640","12,603","8,109","5,285"
    Widowed,"17,442","6,804","18,527",-,-,"3,008"
    Divorced/separated,"33,708","20,016","21,034","18,390",409,950
    Never married,"41,458","33,495","19,257","9,343",777,"3,122"
    Did not report,"1,670",939,986,-,-,890
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"45,708","33,996","33,030","11,937","8,129","4,365"
    No,"63,490","53,532","30,235","23,166",347,"5,578"
    Did not report,719,-,-,-,-,719
Respondent currently employed ,,,,,,
    Yes,"49,328","42,214","24,069","15,353",-,"6,346"
    No,"47,217","39,258","35,547","18,065","8,146","1,914"
    Did not report,719,-,-,-,-,719
Reason for not working ,,,,,,
    Did not want to be employed,"19,370","19,414","4,449",-,-,-
    Sick with coronavirus symptoms,394,-,-,-,-,394
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"18,696","5,141","17,973","4,299",-,548
    Caring for an elderly person,-,-,-,-,-,-
    Sick (not coronavirus related) or disabled,"17,140","6,717","15,506",-,347,-
    Retired,"15,317","6,974","6,543","9,918",-,931
    Coronavirus pandemic related reduction in business (including furlough),"20,432","6,195","13,489","8,096","8,109",250
    Laid off due to coronavirus pandemic,"9,208","2,841","8,214",576,-,950
    Employment closed temporarily due to the coronavirus pandemic,"19,113","17,929","7,128","1,055",-,-
    Employment went out of business due to the coronavirus pandemic,"1,319","1,310",103,-,-,-
    Other reason,"41,215","35,464","20,689","12,478",799,685
    Did not report,"49,911","42,214","24,069","15,353",-,"6,466"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"19,686","6,723","18,240",-,-,394
"    Full pay, not taking leave","10,648","3,829",-,"9,918",-,-
    Partial pay,"6,998","1,221",-,-,"7,151",-
    No pay,"47,152","38,982","31,217","14,808","3,383","1,208"
    Did not report,"49,808","42,203","24,069","15,353",-,"6,727"
Household income ,,,,,,
"    Less than $25,000","26,733","24,371","10,782","12,150","3,383",548
"    $25,000 - $34,999","19,099","1,665","8,392","16,867",-,-
"    $35,000 - $49,999","15,213","5,852","7,781","10,184",409,-
"    $50,000 - $74,999","16,994","9,281","10,736","3,889","7,138",-
"    $75,000 - $99,999","37,089","19,066","28,595","5,046",-,-
"    $100,000 - $149,999","30,754","29,812","10,885",-,-,-
"    $150,000 - $199,999","11,960","7,846","8,696",-,-,-
"    $200,000 and above","29,507","27,639","19,436",-,-,888
    Did not report,"39,301","29,825","18,690","4,854",-,"6,381"
Health status ,,,,,,
    Excellent,"38,003","30,628","24,968","10,620",-,888
    Very good,"45,100","39,160","31,106","13,417","7,138",-
    Good,"22,835","13,760","13,795","12,586","3,359",548
    Fair,"23,837","11,571","18,442","11,723",409,-
    Poor,"7,569","1,176","7,459",400,347,-
    Did not report,"37,745","29,821","11,251","4,854",-,"6,381"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"31,378","25,257","22,777","1,442",702,888
    Several days,"61,062","44,765","32,011","20,127","7,154",548
    More than half the days,"25,656","22,300","15,143","5,195",-,-
    Nearly every day,"18,077","10,753","10,238","11,070","3,226",-
    Did not report,"37,745","29,821","11,251","4,854",-,"6,381"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"47,949","44,074","22,739","6,679",702,"1,087"
    Several days,"51,059","31,539","33,714","12,401","7,154",-
    More than half the days,"23,885","20,232","12,365","6,472",-,-
    Nearly every day,"20,240","10,025","9,226","17,486","3,226",-
    Did not report,"38,823","29,818","11,251","6,708",-,"6,381"
Frequency of having little interest or pleasure in doing things ,,,,,,
    Not at all,"54,785","50,913","21,312","6,679",777,888
    Several days,"47,622","31,355","27,598","16,517","7,138",-
    More than half the days,"18,465","5,158","17,841","6,841",409,548
    Nearly every day,"20,371","2,684","13,706","13,364","3,245",-
    Did not report,"37,728","29,818","11,251","4,854",-,"6,381"
"Frequency of feeling down, depressed, or hopeless ",,,,,,
    Not at all,"51,922","42,949","25,318","8,518","7,167","1,087"
    Several days,"53,669","36,606","32,915","14,579",-,-
    More than half the days,"20,811","11,550","13,507","11,048",409,-
    Nearly every day,"15,227","2,081","10,108","9,943","3,245",-
    Did not report,"37,725","29,812","11,251","4,854",-,"6,381"
Covered by health insurance ,,,,,,
    Yes,"70,311","55,531","36,692","23,851","7,179","1,087"
    No,"15,175","7,379","9,695","5,862","3,245",-
    Did not report or don’t know,"39,659","29,720","15,917","8,333",-,"6,381"
Last month's mortgage or rent paid on time ,,,,,,
    Yes,"64,858","55,830","39,409","18,664",777,548
    No,"17,102","4,257","9,510","10,294","7,138",-
    Payment was deferred,"6,825","3,880","5,820",274,"3,245",-
    Housing owned or payment not required,"18,351","10,573","5,868","8,474",409,888
    Did not report,"37,861","29,712","12,063","4,854",-,"6,381"
Confidence in paying next rent or mortgage ,,,,,,
    No confidence,"14,628","3,488","6,743","9,497","8,109",-
