Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"920,548","658,594","159,703","45,910","33,666","22,676"
Age ,,,,,,
    18 - 24,"80,067","48,299","3,603","6,653","16,300","5,213"
    25 - 39,"314,168","222,904","69,773","20,951",257,283
    40 - 54,"325,913","231,787","56,013","17,124","4,497","16,491"
    55 - 64,"139,314","130,551","7,872",242,387,262
    65 and above,"61,086","25,053","22,441",940,"12,225",427
Sex ,,,,,,
    Male,"396,346","258,378","95,815","32,102","3,429","6,622"
    Female,"524,202","400,216","63,888","13,808","30,236","16,054"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"106,607","43,657","32,053","7,933","16,300","6,663"
"    White alone, not Hispanic","501,772","419,375","55,928","23,661",444,"2,364"
"    Black alone, not Hispanic","116,687","70,168","28,099","5,022","12,869",530
"    Asian alone, not Hispanic","155,552","103,866","37,865",672,383,"12,766"
"    Two or more races + Other races, not Hispanic","39,930","21,528","5,758","8,623","3,670",352
Education ,,,,,,
    Less than high school,"73,338","41,926","1,728","3,312","19,970","6,401"
    High school or GED,"159,341","90,997","16,431","25,776","12,611","13,526"
    Some college/associate’s degree,"259,287","164,687","74,903","16,662","1,084","1,950"
    Bachelor’s degree or higher,"428,582","360,983","66,641",160,-,798
Marital status ,,,,,,
    Married,"619,593","456,712","120,702","14,052","13,489","14,639"
    Widowed,"9,048","7,566",495,825,-,162
    Divorced/separated,"100,933","68,733","24,704","4,436",831,"2,229"
    Never married,"190,691","125,549","13,802","26,597","19,346","5,397"
    Did not report,283,35,-,-,-,249
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"410,015","276,020","61,898","34,749","16,979","20,370"
    No,"510,284","382,574","97,805","11,161","16,687","2,057"
    Did not report,249,-,-,-,-,249
Respondent currently employed ,,,,,,
    Yes,"621,912","452,568","115,299","29,705","17,001","7,339"
    No,"297,588","206,025","44,196","16,206","16,664","14,497"
    Did not report,"1,049",-,208,-,-,841
Reason for not working ,,,,,,
    Did not want to be employed,"34,689","33,191","1,177",321,-,-
    Sick with coronavirus symptoms,"12,225",-,-,-,"12,225",-
    Caring for someone with coronavirus symptoms,951,-,-,951,-,-
    Caring for children not in school or daycare,"101,850","66,867","15,385","3,786","3,046","12,766"
    Caring for an elderly person,888,888,-,-,-,-
    Sick (not coronavirus related) or disabled,"3,961","2,214",891,470,387,-
    Retired,"18,476","15,117",641,"2,371",-,346
    Coronavirus pandemic related reduction in business (including furlough),"22,731","17,017","3,538","1,793",383,-
    Laid off due to coronavirus pandemic,"23,995","10,698","9,051","4,246",-,-
    Employment closed temporarily due to the coronavirus pandemic,"46,372","35,049","10,159","1,163",-,-
    Employment went out of business due to the coronavirus pandemic,"2,912","1,503","1,410",-,-,-
    Other reason,"25,247","21,207",929,"1,103",624,"1,384"
    Did not report,"626,251","454,842","116,523","29,705","17,001","8,180"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"5,985","5,851",-,135,-,-
"    Full pay, not taking leave","1,544","1,544",-,-,-,-
    Partial pay,"2,823",915,827,458,624,-
    No pay,"281,559","192,426","43,369","15,613","15,654","14,497"
    Did not report,"628,637","457,858","115,507","29,705","17,388","8,180"
Household income ,,,,,,
"    Less than $25,000","42,041","36,629","3,950","1,461",-,-
"    $25,000 - $34,999","38,932","16,327","3,567","6,370","12,668",-
"    $35,000 - $49,999","31,037","15,311","4,303","8,119","3,304",-
"    $50,000 - $74,999","102,063","57,088","36,524","8,450",-,-
"    $75,000 - $99,999","109,236","78,375","29,910",951,-,-
"    $100,000 - $149,999","188,889","143,707","37,538","7,644",-,-
"    $150,000 - $199,999","64,547","52,430","12,117",-,-,-
"    $200,000 and above","213,357","198,887","7,817","6,653",-,-
