Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"1,008,770","750,198","185,343","60,407","4,390","8,433"
Age ,,,,,,
    18 - 24,"52,888","45,172","7,716",-,-,-
    25 - 39,"359,199","218,241","102,839","33,057","4,058","1,004"
    40 - 54,"466,327","388,419","44,395","27,350",332,"5,831"
    55 - 64,"59,210","27,220","30,393",-,-,"1,597"
    65 and above,"71,146","71,146",-,-,-,-
Sex ,,,,,,
    Male,"486,523","385,763","65,462","35,298",-,-
    Female,"522,247","364,435","119,880","25,109","4,390","8,433"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"95,689","73,546","21,810",-,332,-
"    White alone, not Hispanic","640,634","491,178","121,380","20,017","4,058","4,001"
"    Black alone, not Hispanic","71,622","50,590","1,663","19,369",-,-
"    Asian alone, not Hispanic","128,248","105,610","20,455",-,-,"2,183"
"    Two or more races + Other races, not Hispanic","72,579","29,274","20,034","21,021",-,"2,250"
Education ,,,,,,
    Less than high school,"64,359","43,693","11,120","9,545",-,-
    High school or GED,"290,148","181,555","71,725","32,811","4,058",-
    Some college/associate’s degree,"247,559","171,689","59,095","16,443",332,-
    Bachelor’s degree or higher,"406,704","353,261","43,402","1,608",-,"8,433"
Marital status ,,,,,,
    Married,"710,126","552,962","114,718","32,687","4,058","5,702"
    Widowed,"38,078","37,429",-,650,-,-
    Divorced/separated,"86,790","48,904","22,073","15,331",-,482
    Never married,"166,617","109,929","48,552","5,555",332,"2,250"
    Did not report,"7,159",975,-,"6,184",-,-
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"525,935","342,614","136,182","40,566","4,390","2,183"
    No,"478,573","403,321","49,160","19,842",-,"6,250"
    Did not report,"4,263","4,263",-,-,-,-
Respondent currently employed ,,,,,,
    Yes,"608,109","476,346","85,742","38,174",-,"7,848"
    No,"400,661","273,852","99,601","22,234","4,390",585
    Did not report,-,-,-,-,-,-
Reason for not working ,,,,,,
    Did not want to be employed,"24,536","24,536",-,-,-,-
