Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"66,593","64,871","36,277","16,476","8,724","6,486"
Age ,,,,,,
    18 - 24,"22,695","20,822","4,797","2,717",-,"2,951"
    25 - 39,"45,769","43,839","21,225","10,594","7,195","3,430"
    40 - 54,"40,709","40,820","22,539","14,208","4,771","4,965"
    55 - 64,"14,140","13,713","4,812",-,595,394
    65 and above,"24,826","9,309","21,064","6,701",-,246
Sex ,,,,,,
    Male,"47,206","38,418","30,410","9,036","1,352","4,243"
    Female,"44,144","48,406","21,702","17,423","8,637","5,301"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"25,763","20,096","13,923","11,208","4,792","3,055"
"    White alone, not Hispanic","51,207","47,426","30,045","7,948","1,121","4,870"
"    Black alone, not Hispanic","19,946","25,173","9,350","10,072","7,138",888
"    Asian alone, not Hispanic","26,309","25,669","8,706","3,636",595,418
"    Two or more races + Other races, not Hispanic","24,343","11,182","20,873","7,095",893,"3,709"
Education ,,,,,,
    Less than high school,"27,585","29,260","5,838","12,096","4,792","2,929"
    High school or GED,"39,359","24,527","30,499","11,850","7,138",-
    Some college/associate’s degree,"35,660","27,644","22,028","6,271","1,563","4,659"
    Bachelor’s degree or higher,"47,444","45,188","10,487",274,-,"4,102"
Marital status ,,,,,,
    Married,"51,774","51,388","19,969","9,528","7,216","5,304"
    Widowed,"17,442","6,905","18,366",-,-,"3,008"
    Divorced/separated,"33,708","19,688","22,461","14,091",-,-
    Never married,"41,458","40,251","11,932","3,355","4,824","3,053"
    Did not report,"1,670",939,986,-,-,890
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"45,708","35,330","28,043","10,629","8,691","4,287"
    No,"63,490","54,413","26,476","17,378",719,"5,301"
    Did not report,719,-,-,-,-,719
Respondent currently employed ,,,,,,
    Yes,"49,328","42,689","18,775","12,168",595,"6,346"
    No,"47,217","41,361","33,124","13,479","8,697","1,285"
    Did not report,719,-,-,-,-,719
Reason for not working ,,,,,,
    Did not want to be employed,"19,370","19,370",-,-,-,-
    Sick with coronavirus symptoms,394,-,-,-,-,394
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"18,696","14,307","10,302","3,102",-,-
    Caring for an elderly person,-,-,-,-,-,-
    Sick (not coronavirus related) or disabled,"17,140","6,717","15,506",-,347,-
    Retired,"15,317","7,478","11,815",-,-,246
    Coronavirus pandemic related reduction in business (including furlough),"20,432","7,329","13,368","7,025","8,686",250
    Laid off due to coronavirus pandemic,"9,208","3,299","8,005",-,576,-
    Employment closed temporarily due to the coronavirus pandemic,"19,113","18,924","1,452","2,206",-,-
    Employment went out of business due to the coronavirus pandemic,"1,319","1,310",103,-,-,-
    Other reason,"41,215","36,053","20,288","12,178",810,685
    Did not report,"49,911","42,689","18,775","12,168",595,"6,466"
