Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"920,548","557,111","260,281","62,859","17,590","22,707"
Age ,,,,,,
    18 - 24,"80,067","41,114","9,444","24,297",-,"5,213"
    25 - 39,"314,168","193,607","98,704","21,317",257,283
    40 - 54,"325,913","193,761","94,190","16,617","4,638","16,707"
    55 - 64,"139,314","104,454","33,969",629,-,262
    65 and above,"61,086","24,175","23,974",-,"12,695",243
Sex ,,,,,,
    Male,"396,346","225,798","126,989","33,508","3,429","6,622"
    Female,"524,202","331,313","133,292","29,351","14,160","16,085"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"106,607","32,939","41,477","25,527",-,"6,663"
"    White alone, not Hispanic","501,772","359,808","115,087","23,244","1,055","2,580"
"    Black alone, not Hispanic","116,687","67,949","31,620","4,107","12,482",530
"    Asian alone, not Hispanic","155,552","86,768","54,584","1,051",383,"12,766"
"    Two or more races + Other races, not Hispanic","39,930","9,648","17,514","8,931","3,670",168
Education ,,,,,,
    Less than high school,"73,338","18,421","24,815","20,030","3,670","6,401"
    High school or GED,"159,341","89,251","19,124","25,000","12,225","13,742"
    Some college/associate’s degree,"259,287","141,471","98,409","15,946","1,695","1,766"
    Bachelor’s degree or higher,"428,582","307,968","117,933","1,883",-,798
Marital status ,,,,,,
    Married,"619,593","399,560","177,864","13,825","13,489","14,855"
    Widowed,"9,048","7,566",556,764,-,162
    Divorced/separated,"100,933","35,666","57,137","4,846","1,055","2,229"
    Never married,"190,691","114,285","24,723","43,424","3,046","5,213"
    Did not report,283,35,-,-,-,249
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"410,015","212,993","123,000","35,848","17,590","20,586"
    No,"510,284","344,118","137,281","27,012",-,"1,873"
    Did not report,249,-,-,-,-,249
Respondent currently employed ,,,,,,
    Yes,"621,912","395,778","171,448","46,646",701,"7,339"
    No,"297,588","161,333","88,625","16,214","16,888","14,528"
    Did not report,"1,049",-,208,-,-,841
Reason for not working ,,,,,,
    Did not want to be employed,"34,689","29,202","4,773",714,-,-
    Sick with coronavirus symptoms,"12,225",-,-,-,"12,225",-
    Caring for someone with coronavirus symptoms,951,-,-,951,-,-
    Caring for children not in school or daycare,"101,850","58,351","24,388","3,298","3,046","12,766"
    Caring for an elderly person,888,888,-,-,-,-
    Sick (not coronavirus related) or disabled,"3,961",369,"2,736",387,470,-
    Retired,"18,476","14,759","1,654","1,901",-,162
    Coronavirus pandemic related reduction in business (including furlough),"22,731","14,535","5,119","2,694",383,-
    Laid off due to coronavirus pandemic,"23,995","10,176","8,733","5,087",-,-
    Employment closed temporarily due to the coronavirus pandemic,"46,372","13,107","32,470",580,-,216
    Employment went out of business due to the coronavirus pandemic,"2,912","2,429",483,-,-,-
    Other reason,"25,247","15,243","7,254",602,764,"1,384"
    Did not report,"626,251","398,052","172,672","46,646",701,"8,180"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"5,985",976,"5,009",-,-,-
"    Full pay, not taking leave","1,544","1,100",444,-,-,-
    Partial pay,"2,823",732,"1,010",317,764,-
    No pay,"281,559","153,235","82,162","15,510","16,124","14,528"
    Did not report,"628,637","401,068","171,656","47,032",701,"8,180"
Household income ,,,,,,
"    Less than $25,000","42,041","35,860","4,581","1,599",-,-
"    $25,000 - $34,999","38,932","13,398","6,131","6,734","12,668",-
"    $35,000 - $49,999","31,037","13,869","6,325","7,400","3,444",-
"    $50,000 - $74,999","102,063","22,353","70,671","9,038",-,-
"    $75,000 - $99,999","109,236","59,223","48,682","1,331",-,-
"    $100,000 - $149,999","188,889","138,480","42,172","8,236",-,-
"    $150,000 - $199,999","64,547","46,070","18,477",-,-,-
"    $200,000 and above","213,357","173,151","33,337","6,653",-,216
    Did not report,"130,447","54,706","29,904","21,869","1,477","22,492"
Health status ,,,,,,
    Excellent,"266,766","216,976","42,931","6,859",-,-
    Very good,"349,676","221,963","109,684","17,112",701,216
    Good,"127,783","68,754","50,635","5,348","3,046",-
    Fair,"58,460","12,235","30,843","14,772",611,-
    Poor,"20,628","1,252","6,906",246,"12,225",-
    Did not report,"97,236","35,931","19,283","18,523","1,007","22,492"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"275,592","236,207","39,067",317,-,-
    Several days,"316,118","155,663","130,583","14,344","15,528",-
    More than half the days,"102,757","71,689","16,524","14,545",-,-
    Nearly every day,"128,139","56,915","54,824","15,130","1,055",216
    Did not report,"97,942","36,638","19,283","18,523","1,007","22,492"
Frequency of not being able to stop or control worrying ,,,,,,
    Not at all,"390,212","315,027","73,872","1,313",-,-
    Several days,"227,576","108,618","90,699","14,864","13,396",-
    More than half the days,"120,986","45,080","63,340","12,566",-,-
    Nearly every day,"83,889","51,805","13,088","15,594","3,187",216
