Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"1,176,019","830,753","274,521","25,908","24,162","20,675"
Age ,,,,,,
    18 - 24,"132,641","54,562","61,368",-,-,"16,710"
    25 - 39,"392,841","246,244","135,646","7,569","1,854","1,529"
    40 - 54,"443,581","346,972","59,046","14,163","21,659","1,741"
    55 - 64,"104,386","97,395","2,265","3,381",649,696
    65 and above,"102,570","85,580","16,196",795,-,-
Sex ,,,,,,
    Male,"583,155","425,536","124,407","1,730","21,425","10,057"
    Female,"592,864","405,217","150,114","24,178","2,737","10,618"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"218,608","108,593","106,336","2,497",-,"1,182"
"    White alone, not Hispanic","612,067","490,638","85,555","16,379","1,531","17,964"
"    Black alone, not Hispanic","57,451","17,470","36,939","3,043",-,-
"    Asian alone, not Hispanic","154,592","120,771","12,835","3,709","15,748","1,529"
"    Two or more races + Other races, not Hispanic","133,300","93,282","32,855",281,"6,883",-
Education ,,,,,,
    Less than high school,"51,447","33,487","17,960",-,-,-
    High school or GED,"351,298","188,962","135,830","12,443","1,854","12,210"
    Some college/associate’s degree,"334,538","239,455","65,625","13,100","11,856","4,501"
    Bachelor’s degree or higher,"438,736","368,848","55,106",365,"10,452","3,965"
Marital status ,,,,,,
    Married,"724,718","573,230","125,940","2,036","21,425","2,087"
    Widowed,"5,803","5,009",-,795,-,-
    Divorced/separated,"101,822","82,848","4,039","14,240",-,696
    Never married,"343,676","169,666","144,542","8,838","2,737","17,893"
    Did not report,-,-,-,-,-,-
Household size ,,,,,,
    1 person in the household,-,-,-,-,-,-
    2 people in the household,"29,956","21,617","6,204",281,"1,854",-
    3 people in the household,"223,110","156,906","51,501","8,795","1,531","4,376"
    4 people in the household,"333,917","273,298","37,596","7,090","8,996","6,937"
    5 people in the household,"315,039","193,782","114,279",551,"4,898","1,529"
    6 people in the household,"114,742","77,461","28,090","9,190",-,-
    7 or more people in the household,"159,256","107,688","36,851",-,"6,883","7,833"
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"635,071","411,397","179,099","18,773","21,425","4,376"
    No,"539,694","419,355","95,422","7,134","2,737","15,045"
    Did not report,"1,254",-,-,-,-,"1,254"
Respondent currently employed ,,,,,,
    Yes,"759,666","573,952","159,774","7,453","3,442","15,045"
    No,"415,099","256,801","114,747","18,455","20,721","4,376"
    Did not report,"1,254",-,-,-,-,"1,254"
Reason for not working ,,,,,,
    Did not want to be employed,"75,350","64,500",-,-,"10,850",-
    Sick with coronavirus symptoms,-,-,-,-,-,-
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"94,091","60,488","30,561","3,043",-,-
    Caring for an elderly person,"1,192","1,192",-,-,-,-
    Sick (not coronavirus related) or disabled,"20,622","1,499","17,960",281,883,-
    Retired,"29,894","12,255","16,196",795,649,-
    Coronavirus pandemic related reduction in business (including furlough),"52,789","52,424",-,365,-,-
    Laid off due to coronavirus pandemic,"34,812","16,534","13,112","3,709","1,456",-
    Employment closed temporarily due to the coronavirus pandemic,"45,270","6,225","34,362",306,-,"4,376"
    Employment went out of business due to the coronavirus pandemic,"15,841","8,958",-,-,"6,883",-
    Other reason,"34,554","29,604","2,453","2,497",-,-
    Did not report,"760,919","573,952","159,774","7,453","3,442","16,299"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"26,995","26,995",-,-,-,-
"    Full pay, not taking leave","6,274",-,324,"1,574",-,"4,376"
    Partial pay,"15,806","13,475","2,331",-,-,-
    No pay,"363,244","214,200","112,091","16,881","20,072",-
    Did not report,"763,700","576,084","159,774","7,453","4,090","16,299"
Household income ,,,,,,
"    Less than $25,000","174,796","51,028","100,928","15,074","7,766",-
"    $25,000 - $34,999","39,312","14,051","20,393","4,868",-,-
"    $35,000 - $49,999","110,298","68,036","38,778","3,485",-,-
"    $50,000 - $74,999","78,886","66,718","10,980","1,189",-,-
"    $75,000 - $99,999","187,173","144,805","41,186",-,-,"1,182"
"    $100,000 - $149,999","118,333","88,499","29,833",-,-,-
"    $150,000 - $199,999","122,302","110,613","10,234",-,"1,456",-
"    $200,000 and above","200,870","179,654","12,220",-,"8,996",-
