Fields,Total,Enough of the types of food wanted,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,,
Total,"1,008,770","576,755","293,452","89,250","40,655","8,658"
Age ,,,,,,
    18 - 24,"52,888","30,238","13,592","9,057",-,-
    25 - 39,"359,199","190,322","114,436","13,113","40,323","1,004"
    40 - 54,"466,327","294,667","98,416","67,080",332,"5,831"
    55 - 64,"59,210","26,213","31,399",-,-,"1,597"
    65 and above,"71,146","35,314","35,608",-,-,225
Sex ,,,,,,
    Male,"486,523","303,146","88,232","58,880","36,266",-
    Female,"522,247","273,608","205,220","30,371","4,390","8,658"
Hispanic origin and Race ,,,,,,
    Hispanic or Latino (may be of any race),"95,689","64,915","21,384","9,057",332,-
"    White alone, not Hispanic","640,634","343,978","185,254","66,852","40,323","4,226"
"    Black alone, not Hispanic","71,622","44,619","16,734","10,268",-,-
"    Asian alone, not Hispanic","128,248","101,070","24,995",-,-,"2,183"
"    Two or more races + Other races, not Hispanic","72,579","22,173","45,084","3,073",-,"2,250"
Education ,,,,,,
    Less than high school,"64,359","12,579","49,859","1,921",-,-
    High school or GED,"290,148","94,494","93,193","62,138","40,323",-
    Some college/associate’s degree,"247,559","149,114","76,764","21,349",332,-
    Bachelor’s degree or higher,"406,704","320,567","73,636","3,843",-,"8,658"
Marital status ,,,,,,
    Married,"710,126","442,713","161,541","59,848","40,323","5,702"
    Widowed,"38,078","11,839","25,364",650,-,225
    Divorced/separated,"86,790","40,726","43,662","1,921",-,482
    Never married,"166,617","80,502","62,885","20,649",332,"2,250"
    Did not report,"7,159",975,-,"6,184",-,-
Respondent or household member experienced loss of employment income ,,,,,,
    Yes,"525,935","240,846","169,567","72,683","40,655","2,183"
    No,"478,573","331,646","123,885","16,567",-,"6,475"
    Did not report,"4,263","4,263",-,-,-,-
Respondent currently employed ,,,,,,
    Yes,"608,109","410,438","170,919","18,904",-,"7,848"
    No,"400,661","166,317","122,533","70,346","40,655",810
    Did not report,-,-,-,-,-,-
Reason for not working ,,,,,,
    Did not want to be employed,"24,536","24,536",-,-,-,-
    Sick with coronavirus symptoms,"11,694","7,913","3,781",-,-,-
    Caring for someone with coronavirus symptoms,-,-,-,-,-,-
    Caring for children not in school or daycare,"85,912","16,714","26,338","6,010","36,266",585
    Caring for an elderly person,"18,449",-,"18,449",-,-,-
    Sick (not coronavirus related) or disabled,"10,981","4,721","5,606",655,-,-
    Retired,"61,669","31,112","30,332",-,-,225
    Coronavirus pandemic related reduction in business (including furlough),"16,089","11,786","4,303",-,-,-
    Laid off due to coronavirus pandemic,"86,500","27,754","7,678","47,010","4,058",-
    Employment closed temporarily due to the coronavirus pandemic,"33,938","12,752","16,280","4,907",-,-
    Employment went out of business due to the coronavirus pandemic,"1,054","1,054",-,-,-,-
    Other reason,"42,452","21,179","9,766","11,175",332,-
    Did not report,"608,109","410,438","170,919","18,904",-,"7,848"
Receiving pay for the time not working ,,,,,,
    Using paid leave,"8,446","2,262",-,"6,184",-,-
"    Full pay, not taking leave","43,325","14,585","28,741",-,-,-
    Partial pay,"22,456","15,598","3,826","3,033",-,-
    No pay,"326,435","133,873","89,967","61,130","40,655",810
    Did not report,"608,109","410,438","170,919","18,904",-,"7,848"
Household income ,,,,,,
"    Less than $25,000","21,243","6,594","2,533","11,785",332,-
"    $25,000 - $34,999","19,875","6,613","6,645","6,617",-,-
"    $35,000 - $49,999","92,202","30,874","56,461","4,867",-,-
"    $50,000 - $74,999","122,700","39,823","75,448","7,428",-,-
"    $75,000 - $99,999","195,208","87,015","19,123","48,746","40,323",-
"    $100,000 - $149,999","172,919","127,461","38,237","7,221",-,-
"    $150,000 - $199,999","98,343","76,610","21,733",-,-,-
"    $200,000 and above","143,185","132,324","10,861",-,-,-
    Did not report,"143,097","69,440","62,412","2,586",-,"8,658"
Health status ,,,,,,
    Excellent,"215,204","196,024","10,491","8,689",-,-
    Very good,"375,454","226,480","94,727","54,247",-,-
    Good,"230,812","82,501","104,857","6,857","36,598",-
    Fair,"78,695","25,512","39,344","13,839",-,-
    Poor,"14,723","1,671","5,961","3,033","4,058",-
    Did not report,"93,883","44,567","38,072","2,586",-,"8,658"
"Frequency of feeling nervous, anxious, on edge ",,,,,,
    Not at all,"188,232","164,521","21,458","2,253",-,-
    Several days,"427,671","216,111","139,687","71,873",-,-
    More than half the days,"110,779","66,419","37,526","6,502",332,-
    Nearly every day,"188,205","85,137","56,710","6,035","40,323",-
    Did not report,"93,883","44,567","38,072","2,586",-,"8,658"
