Fields,Total,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,
Total,"43,801","35,293","29,782","7,472","6,792"
"Food Sufficiency before Mar 13, 2020 ",,,,,
    Enough of the types of food wanted,"21,759","21,092","5,309","3,631",751
"    Enough food, but not always the types wanted","21,271","20,135","5,821","1,670",607
    Sometimes not enough to eat,"30,627","19,098","28,741","4,630",-
    Often not enough to eat,"3,838",-,826,"3,700",-
    Did not report,"6,676",-,693,-,"6,734"
Reason for recent food insufficiency ,,,,,
    Couldn’t afford to buy more food,"34,185","25,910","29,802","6,900",-
    Couldn’t get out to buy food,"16,529","16,032","3,261","1,670",-
    Afraid to go or didn’t want to go out to buy food,"18,930","17,843","5,465","2,205",-
    Couldn’t get groceries or meals delivered to me,"9,457","9,457",-,-,-
    The stores didn’t have the food I wanted,"19,173","19,486","2,273","1,670",-
    Did not report,"6,792",-,-,-,"6,792"
Free groceries or free meal in last 7 days ,,,,,
    Yes,"30,813","19,665","23,702","4,219",-
    No,"33,560","28,986","19,607","5,640",903
    Did not report,"6,945",928,-,-,"6,734"
Provider of free groceries or free meal ,,,,,
    School or other programs aimed at children,"9,867","7,722","6,213","1,267",-
"    	Food pantry or food bank","20,831","5,326","19,903","1,267",-
    Home-delivered meal service like Meals on Wheels,-,-,-,-,-
"    	Church, synagogue, temple, mosque or other religious organization","5,332",-,"5,332",-,-
    Shelter or soup kitchen,-,-,-,-,-
    Other community program,"12,153",937,"11,662","4,203",-
"    Family, friends, or neighbors","17,964","17,895","2,398",-,-
    Did not report,"35,203","29,047","19,607","5,640","6,792"
Food-at-home ,,,,,
    Mean amount spent (dollars),$19.17 ,$16.74 ,$51.19 ,$79.51 ,$150.25 
    Did not report,"14,405","13,889","3,391",-,"6,734"
Food-away-from-home ,,,,,
    Mean amount spent (dollars),$26.78 ,$32.51 ,$45.98 ,$58.81 ,$72.87 
    Did not report,"14,424","13,914","3,391",-,"6,734"
Confidence in being able to afford food next four weeks ,,,,,
"    	Not at all confident","30,127","18,345","28,329","6,881",607
    Somewhat confident,"18,659","16,784","12,619",-,-
    Moderately confident,"18,739","18,402","1,069","2,753",612
    Very confident,"13,393","13,386",-,-,427
    Did not report,"9,752","8,841","3,391",-,"6,734"
Health status ,,,,,
    Excellent,"24,617","24,224","5,360",629,427
    Very good,"30,098","20,488","22,150","5,505",612
    Good,"23,543","13,454","18,752","4,274",607
    Fair,"9,500","9,294","2,066","2,071",-
    Poor,"9,006","8,984",693,-,-
    Did not report,"9,311","8,486","3,391",-,"6,734"
"Frequency of feeling nervous, anxious, on edge ",,,,,
    Not at all,"15,715","10,067","12,444",-,427
    Several days,"28,575","26,975","4,871","5,404",607
    More than half the days,"16,548","10,196","10,969","2,753",612
    Nearly every day,"29,133","17,140","24,625","4,218",-
    Did not report,"9,311","8,486","3,391",-,"6,734"
Frequency of not being able to stop or control worrying ,,,,,
    Not at all,"22,112","23,070","12,444",-,-
    Several days,"20,213","19,172","4,901","5,719",699
    More than half the days,"27,857","13,300","24,180","2,753",612
    Nearly every day,"13,523","10,383","8,665","3,911",-
    Did not report,"9,311","8,486","3,391",-,"6,734"
Frequency of having little interest or pleasure in doing things ,,,,,
    Not at all,"23,004","23,731","13,016",629,-
    Several days,"29,566","19,606","21,940","5,358",427
    More than half the days,"14,884","11,554","12,569","2,753",612
    Nearly every day,"13,325","10,313","8,275","4,337",607
    Did not report,"9,844","9,046","3,391",-,"6,734"
