Fields,Total,"Enough food, but not always the types wanted",Sometimes not enough to eat,Often not enough to eat,Did not report
,,,,,
Total,"47,660","42,019","21,386","22,122",939
"Food Sufficiency before Mar 13, 2020 ",,,,,
    Enough of the types of food wanted,"36,456","32,826","15,799",-,-
"    Enough food, but not always the types wanted","31,139","30,536","4,394",-,-
    Sometimes not enough to eat,"9,243","1,838","8,789",-,-
    Often not enough to eat,"22,540",-,"4,056","22,122",-
    Did not report,939,-,-,-,939
Reason for recent food insufficiency ,,,,,
    Couldn’t afford to buy more food,"29,911","18,911","21,225","22,122",-
    Couldn’t get out to buy food,"35,411","26,680","7,523","22,122",-
    Afraid to go or didn’t want to go out to buy food,"24,682","23,326","9,081",-,-
    Couldn’t get groceries or meals delivered to me,"13,394","11,687","6,628","1,195",-
    The stores didn’t have the food I wanted,"29,187","29,187",-,-,-
    Did not report,"1,682","1,374",-,-,939
Free groceries or free meal in last 7 days ,,,,,
    Yes,"29,740","21,830","18,710",-,-
    No,"44,478","35,662","11,839","22,122",-
    Did not report,939,-,-,-,939
Provider of free groceries or free meal ,,,,,
    School or other programs aimed at children,"29,769","21,840","18,710",-,-
"    	Food pantry or food bank",-,-,-,-,-
    Home-delivered meal service like Meals on Wheels,-,-,-,-,-
"    	Church, synagogue, temple, mosque or other religious organization",-,-,-,-,-
    Shelter or soup kitchen,386,386,-,-,-
    Other community program,"18,490","18,490",-,-,-
"    Family, friends, or neighbors","18,908","18,908",-,-,-
    Did not report,"44,279","35,662","11,839","22,122",939
Food-at-home ,,,,,
    Mean amount spent (dollars),$27.96 ,$28.69 ,$68.75 ,$3.03 ,-
    Did not report,"12,997","12,847",-,-,939
Food-away-from-home ,,,,,
    Mean amount spent (dollars),$14.65 ,$18.38 ,$19.81 ,$5.18 ,-
    Did not report,"12,997","12,847",-,-,939
Confidence in being able to afford food next four weeks ,,,,,
"    	Not at all confident","20,715","7,858","4,299","22,122",-
    Somewhat confident,"34,965","32,305","17,440",-,-
    Moderately confident,"22,136","22,574","4,056",-,-
    Very confident,"14,410","13,825","3,523",-,-
    Did not report,"12,990","12,842",-,-,939
Health status ,,,,,
    Excellent,"8,283","8,283",-,-,-
    Very good,"23,063","16,974","14,900",-,-
    Good,"35,154","30,833","10,671",-,-
    Fair,"24,265","23,883","4,056","1,195",-
    Poor,"22,351","7,965",-,"22,142",-
    Did not report,"10,854","10,762",-,-,939
"Frequency of feeling nervous, anxious, on edge ",,,,,
    Not at all,"13,834","13,834",-,-,-
    Several days,"19,021","18,055","7,730","1,195",-
    More than half the days,"16,481","6,224","15,866",-,-
    Nearly every day,"42,998","36,465","7,223","22,142",-
    Did not report,"10,854","10,762",-,-,939
Frequency of not being able to stop or control worrying ,,,,,
    Not at all,"14,666","14,666",-,-,-
    Several days,"28,990","28,814","7,730",-,-
    More than half the days,"24,515","16,527","17,339","1,195",-
    Nearly every day,"34,622","26,870",-,"22,142",-
    Did not report,"10,854","10,762",-,-,939
Frequency of having little interest or pleasure in doing things ,,,,,
    Not at all,"21,752","21,752",-,-,-
    Several days,"31,214","22,465","19,684",-,-
    More than half the days,"42,435","31,666","9,081","22,122",-
    Nearly every day,"3,558","3,558",-,-,-
    Did not report,"10,854","10,762",-,-,939
